Entrez_Gene_ID	Gene_Name
59067	IL21
3172	HNF4A
4481	MSR1
4584	MUC3A
5552	SRGN
10081	PDCD7
29110	TBK1
4058	LTK
23569	PADI4
604	BCL6
4332	MNDA
4061	LY6E
70274	LY6G6E
9235	IL32
468	ATF4
7100	TLR5
10673	TNFSF13B
5705	PSMC5
53831	GPR84
6347	CCL2
306	ANXA3
26191	PTPN22
50619	DEF6
2204	FCAR
2160	F11
3672	ITGA1
10312	TCIRG1
4340	MOG
329	BIRC2
6283	S100A12
952	CD38
3836	KPNA1
835	CASP2
573	BAG1
51279	C1RL
735	C9
4149	MAX
821	CANX
3140	MR1
728	C5AR1
10563	CXCL13
6433	SFSWAP
4842	NOS1
8140	SLC7A5
10803	CCR9
940	CD28
5894	RAF1
3053	SERPIND1
6364	CCL20
6891	TAP2
1668	DEFA3
3601	IL15RA
408	ARRB1
3661	IRF3
4072	EPCAM
867	CBL
199	AIF1
4035	LRP1
84818	IL17RC
5453	POU3F1
8740	TNFSF14
4485	MST1
8815	BANF1
23582	CCNDBP1
8638	OASL
7188	TRAF5
8888	MCM3AP
2999	GZMH
643	CXCR5
7098	TLR3
3815	KIT
58530	LY6G6D
1154	CISH
868	CBLB
8600	TNFSF11
5778	PTPN7
7189	TRAF6
3371	TNC
355	FAS
4815	NINJ2
3627	CXCL10
716	C1S
23601	CLEC5A
4055	LTBR
7102	TM4SF2
10017	BCL2L10
2022	ENG
4099	MAG
11024	LILRA1
5783	PTPN13
10878	CFHR3
956	ENTPD3
64581	CLEC7A
10068	IL18BP
2633	GBP1
946	SIGLEC6
8581	LY6D
5277	PIGA
330	BIRC3
8706	B3GALNT1
2205	FCER1A
114836	SLAMF6
5701	PSMC2
7293	TNFRSF4
114132	SIGLEC11
3912	LAMB1
914	CD2
3386	ICAM4
4353	MPO
7448	VTN
6358	CCL14
3822	KLRC2
5454	POU3F2
51348	KLRF1
2525	FUT3
1521	CTSW
1437	CSF2
6759	SSX4
921	CD5
58191	CXCL16
713	C1QB
9173	IL1RL1
222663	SCUBE3
114898	C1QTNF2
729238	SFTPA2
6249	CLIP1
2288	FKBP4
5871	MAP4K2
720	C4A
2244	FGB
4301	MLLT4
1269	CNR2
3683	ITGAL
174	AFP
8738	CRADD
3109	HLA-DMB
8482	SEMA7A
57118	CAMK1D
3443	IFNA6
7920	ABHD16A
6363	CCL19
4988	OPRM1
4589	MUC7
4302	MLLT6
8456	FOXN1
6614	SIGLEC1
7036	TFR2
8809	IL18R1
22900	CARD8
6590	SLPI
4084	MXD1
4216	MAP3K4
6404	SELPLG
10537	UBD
6777	STAT5B
1401	CRP
6772	STAT1
6360	CCL16
2280	FKBP1A
1043	CD52
1241	LTB4R
717	C2
5706	PSMC6
8631	SKAP1
6320	CLEC11A
929	CD14
7099	TLR4
4062	LY6H
116379	IL22RA2
968	CD68
941	CD80
3460	IFNGR2
8828	NRP2
8530	CST7
6375	XCL1
4277	MICB
80274	SCUBE1
4153	MBL2
255061	TAC4
83661	MS4A8B
4214	MAP3K1
6357	CCL13
3693	ITGB5
3565	IL4
4586	MUC5AC
5272	SERPINB9
3433	IFIT2
819	CAMLG
595	CCND1
2908	NR3C1
3953	LEPR
53947	A4GALT
5780	PTPN9
1896	EDA
2993	GYPA
338376	IFNE
7097	TLR2
9255	AIMP1
6932	TCF7
3383	ICAM1
196	AHR
4082	MARCKS
3329	HSPD1
3385	ICAM3
9332	CD163
2159	F10
4300	MLLT3
1669	DEFA4
3656	IRAK2
5609	MAP2K7
2635	GBP3
4069	LYZ
280657	SSX6
714	C1QC
5699	PSMB10
7728	ZNF175
2638	GC
8028	MLLT10
6927	HNF1A
2643	GCH1
23189	KANK1
50616	IL22
350	APOH
5090	PBX3
51554	CCRL1
466	ATF1
8857	FCGBP
9002	F2RL3
3240	HP
6480	ST6GAL1
7292	TNFSF4
2147	F2
3449	IFNA16
6520	SLC3A2
3805	KIR2DL4
22954	TRIM32
949	SCARB1
1690	COCH
3113	HLA-DPA1
8517	IKBKG
51297	BPIFA1
80328	ULBP2
23308	ICOSLG
7057	THBS1
27190	IL17B
2919	CXCL1
29760	BLNK
5606	MAP2K3
3442	IFNA5
89780	WNT3A
3026	HABP2
1244	ABCC2
939	CD27
10148	EBI3
10800	CYSLTR1
5068	REG3A
25939	SAMHD1
4179	CD46
83888	FGFBP2
5327	PLAT
2150	F2RL1
56833	SLAMF8
114548	NLRP3
4585	MUC4
29933	GPR132
8031	NCOA4
3620	IDO1
10134	BCAP31
7039	TGFA
23581	CASP14
2064	ERBB2
140947	C5orf20
4684	NCAM1
3718	JAK3
57007	CXCR7
417	ART1
4680	CEACAM6
1361	CPB2
58494	JAM2
9491	PSMF1
3055	HCK
5603	MAPK13
3148	HMGB2
6776	STAT5A
308	ANXA5
7433	VIPR1
10410	IFITM3
168537	GIMAP7
7422	VEGFA
840	CASP7
696	BTN1A1
1802	DPH2
3107	HLA-C
342510	CD300E
64225	ATL2
5089	PBX2
29108	PYCARD
3592	IL12A
10016	PDCD6
3003	GZMK
2335	FN1
4791	NFKB2
942	CD86
4985	OPRD1
597	BCL2A1
1326	MAP3K8
8862	APLN
3607	FOXK2
6416	MAP2K4
53340	SPA17
5553	PRG2
5777	PTPN6
966	CD59
54210	TREM1
6758	SSX5
3559	IL2RA
596	BCL2
474344	GIMAP6
9220	TIAF1
9619	ABCG1
3344	FOXN2
3691	ITGB4
6373	CXCL11
8547	FCN3
1051	CEBPB
5716	PSMD10
3426	CFI
51284	TLR7
3595	IL12RB2
6122	RPL3
5717	PSMD11
5715	PSMD9
954	ENTPD2
8832	CD84
5594	MAPK1
5467	PPARD
29121	CLEC2D
5055	SERPINB2
11118	BTN3A2
963	CD53
3428	IFI16
8744	TNFSF9
4267	CD99
2814	GP5
56667	MUC13
5608	MAP2K6
4049	LTA
5693	PSMB5
5276	SERPINI2
3690	ITGB3
1670	DEFA5
23765	IL17RA
3459	IFNGR1
2812	GP1BB
3456	IFNB1
5707	PSMD1
1439	CSF2RB
912	CD1D
5604	MAP2K1
6403	SELP
9103	FCGR2C
915	CD3D
5818	PVRL1
3609	ILF3
3036	HAS1
4023	LPL
3605	IL17A
10581	IFITM2
8455	ATRN
7018	TF
6370	CCL25
51056	LAP3
53342	IL17D
7918	GPANK1
732	C8B
8875	VNN2
959	CD40LG
4803	NGF
1270	CNTF
50943	FOXP3
114899	C1QTNF3
8771	TNFRSF6B
8795	TNFRSF10B
64231	MS4A6A
11120	BTN2A1
820	CAMP
6678	SPARC
9308	CD83
