Entrez_Gene_ID	Gene_Name
3497	IGHE
3502	IGHG3
3512	IGJ
3519	IGKV@
3537	IGLC1
3538	IGLC2
3539	IGLC3
3542	IGLC6
3546	IGLV@
3551	IKKBKB
3592	IL12A
3593	IL12B
3594	IL12RB1
3654	IRAK1
3656	IRAK2
3659	IRF1
3660	IRF2
3661	IRF3
3662	IRF4
3663	IRF5
3664	IRF6
3665	IRF7
3667	IRS1
3684	ITGAM
3689	ITGB2
3700	ITIH4
3702	ITK
3709	ITPR2
3716	JAK1
3717	JAK2
3725	JUN
3806	KIR2DS1
3809	KIR2DS4
3810	KIR2DS5
3813	KIR3DS1
3815	KIT
3822	KLRC2
3824	KLRD1
3845	KRAS
3848	KRT1
3916	LAMP1
3929	LBP
3932	LCK
3937	LCP2
3958	LGALS3
3984	LIMK1
4067	LYN
4118	Mal
4142	MAS1
4153	MBL2
4179	CD46
4193	MDM2
4210	MEFV
4214	MAP3K1
4261	CIITA
4276	MICA
4303	FOXO4
4313	MMP2
4340	MOG
4361	MRE11A
4435	CITED1
4502	MT2A
4542	MYO1F
4599	MX1
4600	MX2
4615	MyD88
4620	MYH2
4641	MYO1C
4651	MYO10
4684	NCAM1
4690	NCK1
4772	NFATC1
4773	NFAC2
4775	NFAC3
4790	NFKB1
4791	NFKB2
4792	NFKBIA
4793	NFKBIB
4795	NFKBIL1
4938	OAS1
4939	OAS2
4940	OAS3
5058	PAK1
5062	PAK2
5136	PDE1A
5154	PDGFA
5155	PDGFB
5156	PGFRA
5159	PGFRB
5170	PDPK1
5296	PIK3R2
5335	PLCG1
5338	PLD2
5371	PML
5434	POLR2E
5435	POL2RF
5437	POLR2H
5440	POLR2K
5441	RPAB5
5524	PPP2R4
5532	PPP3CB
5567	PRKACB
5568	KAPCG
5573	PRKAR1A
5575	PRKAR1B
5576	PRKAR2A
5577	PRKAR2B
5580	PRKCD
5582	PRKCG
5588	PRKCQ
5594	MAPK1
5595	MAPK3
5599	MAPK8
5600	MAPK11
5602	MAPK10
5604	MAP2K1
5605	MAP2K2
5606	MAP2K3
5608	MAP2K6
5609	MAP2K7
5627	PROS1
5641	LGMN
5645	PRSS2
5648	MASP1
5696	PSMB8
5724	PTAFR
5747	PTK2
5753	PTK6
5770	PTPN1
5777	PTPN6
5806	PTX3
5873	RAB27A
5891	RAGE
5894	RAF1
5970	RELA
6199	RPS6KB2
6283	S100A12
6288	SAA1
6416	MAP2K4
6464	SHC1
6654	SOS1
6672	SP100
6714	SRC
6725	SRMS
6770	STAR
6772	STAT1
6773	STAT2
6776	STAT5A
6777	STAT5B
6778	STAT6
6850	SYK
6885	M3K7
6998	TDGF1
7006	TEC
7096	TLR1
7097	TLR2
7098	TLR3
7099	TLR4
7100	TLR5
7105	TSPAN6
7128	TNFAIP3
7182	NR2C2
7184	HSP90B1
7186	TRAF2
7187	TRAF3
7189	TRAF6
7249	TSC2
7294	TXK
7305	TYROBP
7321	UBE2D1
7322	UBE2D2
7341	SUMO1
7409	VAV1
7410	VAV2
7412	VCAM1
7448	VTN
7456	WIPF1
7462	LAT2
7525	YES1
8074	FGF23
8343	HIST1H2BF
8347	HIST1H2BC
8398	PLA2G6
8519	IFITM1
8547	FCN3
8638	OASL
8651	SOCS1
8660	IRS2
8737	RIPK1
8767	RIPK2
8772	FADD
8817	FGF18
8822	FGF17
8823	FGF16
8915	BCL10
8936	WASF1
8976	WASL
8993	PGLYRP1
9021	SOCS3
9093	DNAJA3
9261	MAPKAPK2
9365	KL
9402	GRAP2
9436	NCR2
9437	NCR1
9447	AIM2
9533	POLR1C
9542	NRG2
9636	ISG15
9641	IKBKE
9830	TRIM14
9844	ELMO1
9846	GAB2
9865	TRIL
9965	FGF19
10006	ABI1
10010	TANK
10092	ARPC5
10093	ARPC4
10094	ARPC3
10096	ACTR3
10097	ACTR2
10109	ARPC2
10125	RASGRP1
10163	WASF2
10188	TNK2
10321	CRISP3
10326	SIRPB1
10333	TLR6
10379	IRF9
10392	NOD1
10410	IFITM3
10437	IFI30
10451	VAV3
10458	BAIAP2
10492	SYNCRIP
10527	IPO7
10537	UBD
10552	ARPC1A
10581	IFITM2
10723	SLC12A7
10747	MASP2
10787	NCKAP1
10818	FRS2
10878	CFHR3
10971	YWHAQ
11074	TRIM31
11178	LZTS1
11213	IRAK3
11274	USP18
11277	TREX1
22861	NLRP1
22914	KLRK1
22954	TRIM32
23035	PHLPP2
23087	TRIM35
23098	SARM1
23112	TNRC6B
23118	TAB2
23220	DTX4
23239	PHLPP1
23601	CLEC5A
23643	LY96
23705	CADM1
25939	SAMHD1
26191	PTPN22
26268	FBXO9
26281	FGF20
26523	AGO1
26999	CYFIP2
27006	FGF22
27040	LAT
27161	AGO2
27327	TNRC6A
28378	IGHV7-81
28770	IGLV11-55
28772	IGLV10-54
28774	IGLV8-61
28775	IGLV7-46
28776	IGLV7-43
28781	IGLV5-45
28783	IGLV5-37
28784	IGLV4-69
28785	IGLV4-60
28786	IGLV4-3
28791	IGLV3-27
28793	IGLV3-25
28795	IGLV3-22
28799	IGLV3-16
28802	IGLV3-12
28811	IGLV2-33
28813	IGLV2-23
28814	IGLV2-18
28816	IGLV2-11
28823	IGLV1-44
28825	IGLV1-40
28826	IGLV1-36
28834	IGLC7
29108	PYCARD
29110	TBK1
29927	SEC61A1
50617	ATP6V0A4
50852	TRAT1
51082	POLR1D
51135	IRAK4
51284	TLR7
51297	BPIFA1
51311	TLR8
51348	KLRF1
51447	IP6K2
51517	NCKIPSD
51667	NUB1
51734	MSRB1
54106	TLR9
54145	H2BFS
54209	TREM2
54210	TREM1
54478	FAM64A
54739	XAF1
55359	STYK1
55366	LGR4
55845	BRK1
56832	IFNK
57115	PGLYRP4
57402	S100A14
57690	TNRC6C
57823	SLAMF7
58191	CXCL16
58484	NLRC4
63916	ELMO2
64127	NOD2
64581	CLEC7A
79109	MAPKAP1
80328	ULBP2
81494	CFHR5
81559	TRIM11
81623	DEFB126
81793	TLR10
83666	PARP9
83737	ITCH
84265	POLR3GL
84433	CARD11
84659	RNASE7
90268	OTULIN
92747	BPIFB1
114548	NLRP3
114609	TIRAP
114770	PGLYRP2
114771	PGLYRP3
117145	THEM4
117157	SH2D1B
117285	DEFB118
124599	CD300LB
126129	CPT1C
130120	REG3G
135154	C6orf57
140596	DEFB104A
140850	DEFB127
140881	DEFB129
145957	NRG4
147179	WIPF2
149233	IL23R
152831	KLB
154064	RAET1L
163351	GBP6
163702	IFNLR1
169026	SLC30A8
170482	CLEC4C
192669	AGO3
192670	AGO4
196883	ADCY4
200186	CRTC2
201294	UNC13D
245909	DEFB106A
245911	DEFB108B
245929	DEFB115
245930	DEFB116
245932	DEFB119
245934	DEFB121
245936	DEFB123
245937	DEFB124
245938	DEFB125
245939	DEFB128
259197	NCR3
338376	IFNE
338382	RAB7B
340205	TREML1
342510	CD300E
353091	RAET1G
353376	TICAM2
377630	USP17L2
387836	CLEC2A
400709	SIGLEC16
400830	DEFB132
414325	DEFB103A
613209	DEFB135
613211	DEFB134
644150	WIPF3
644414	DEFB131
729230	CCR2
730249	IRG1
100049587	SIGLEC14
100132285	KIR2DS2
100431172	KLRF2
