Entrez_Gene_ID	Gene_Name
5682	PSMA1
5683	PSMA2
5684	PSMA3
5685	PSMA4
5686	PSMA5
5687	PSMA6
5688	PSMA7
143471	PSMA8
5689	PSMB1
5691	PSMB3
5693	PSMB5
5694	PSMB6
5695	PSMB7
5696	PSMB8
5698	PSMB9
5699	PSMB10
5700	PSMC1
5701	PSMC2
5702	PSMC3
5704	PSMC4
5705	PSMC5
5706	PSMC6
5707	PSMD1
5708	PSMD2
5709	PSMD3
5710	PSMD4
5711	PSMD5
9861	PSMD6
5713	PSMD7
5714	PSMD8
5715	PSMD9
5716	PSMD10
5717	PSMD11
5718	PSMD12
5719	PSMD13
10213	PSMD14
5720	PSME1
5721	PSME2
10197	PSME3
23198	PSME4
9491	PSMF1
